name,publisher,price,auther,translator,publish year,ISBN,num of pages,page / price
مکتب کیوتو: آشنایی با فلسفه ژاپن,آبان - شمشاد,15300.0,اصغری ، محمد,,1400,9786002783479,240,15.686
آزمایش دکتر اکس,آبان - شمشاد,6300.0,ورن ، ژول,,1396,9786002783691,96,15.238
فرزندانشان پس از آن‌ها,آبان - شمشاد,108000.0,ماتیو ، نیکولا,,1401,9786222019747,548,5.074
از فرانکلین تا لاله‌زار (زندگینامه همایون صنعتی‌زاده),آبان - شمشاد,58500.0,علی‌نژاد ، سیروس,,1395,9786002782823,272,4.65
دزدان تابستان,آبان - شمشاد,36000.0,کاپوتی ، ترومن,,1400,9786222019761,134,3.722
‏‫تکنیک صحنه (۲)‮‬,آبان - شمشاد,36000.0,علیاری ، فریدون,,1401,9786223080067,108,3.0
تاریخ ملل: چگونه هویت ملت‌ها شکل گرفت,آبان - شمشاد,166500.0,فورتادو ، پیتر,,1400,9786002782199,330,1.982
ثمرات حیات: یادداشت‌های جلسات اخلاقی - عرفانی,آفتاب فطرت,108000.0,سعادت‌پرور ، علی,,1401,9786229914502,404,3.741
ثمرات حیات: یادداشت‌های جلسات اخلاقی - عرفانی استاد ...,آفتاب فطرت,108000.0,سعادت‌پرور ، علی,,1401,9786229564530,394,3.648
ثمرات حیات: یادداشت‌های جلسات اخلاقی - عرفانی استاد ...,آفتاب فطرت,108000.0,سعادت‌پرور ، علی,,1401,9786229856840,392,3.63
همای سعادت: روش‌های تربیت اخلاقی در اسلام با ...,آفتاب فطرت,108000.0,عباسی ، محمد,,1401,9786229564509,392,3.63
فروغ شهادت، یا، اسرار مقتل سیدالشهدا (ع),آفتاب فطرت,135000.0,سعادت‌پرور ، علی,,1401,9786229914533,486,3.6
الشموس المضیئه فی‌ الغیبه و الظهور و الرجعه: ...,آفتاب فطرت,135000.0,سعادت‌پرور ، علی,,1401,9786229914540,482,3.57
راز دل: شرح منظومه گلشن راز شیخ محمود ...,آفتاب فطرت,135000.0,سعادت‌پرور ، علی,,1401,9786229914595,462,3.422
ثمرات حیات: یادداشت‌های جلسات اخلاقی - عرفانی استاد ...,آفتاب فطرت,108000.0,سعادت‌پرور ، علی,,1401,9786229564547,312,2.889
جلوه نور: پرتوی از فضائل معنوی فاطمه زهرا ...,آفتاب فطرت,108000.0,سعادت‌پرور ، علی,,1399,9786229914526,312,2.889
سرالاسراء: سیری به سوی انسانیت شرح حديث معراج,آفتاب فطرت,450000.0,سعادت‌پرور ، علی,,1401,9786229914557,-1,-0.002
برای فرداها متشکرم: روایت بانوی اول سابق فرانسه ...,آوای کتاب,40500.0,تریرویله ، والری,,1399,9786220403340,278,6.864
شهر ممنوعه,آوای کتاب,46800.0,سابو ، ماگدا,,1396,9786001199387,314,6.709
فرار کن,آوای کتاب,67500.0,هستر ، دایان,,1399,9786222018696,442,6.548
زندگی‌های خصوصی,آوای کتاب,27000.0,کاورد ، نوئل,,1400,9786222019709,116,4.296
رانندگی برای خانم دیزی,آوای کتاب,18000.0,یوری ، آلفرد,,1400,9786222019211,66,3.667
دالان بهشت,آوای کتاب,126000.0,صفوی ، نازی,,1401,9789643112134,448,3.556
سه‌شنبه‌ها با موری: مرد پیر، مرد جوان و ...,آوای کتاب,85500.0,آلبوم ، میچ,,1401,9789643413132,224,2.62
نیرنگ: کاوشگرهای اراست فاندورین در جنگ‌های روس و ...,آوای کتاب,112500.0,آکونین ، بوریس,,1398,9786222018320,278,2.471
مقالات دومین همایش ملی آسیب‌های اجتماعی در ایران، ...,آگاه,15300.0,,,1393,9789644163333,290,18.954
مقالات دومین همایش ملی آسیب‌های اجتماعی در ایران، ...,آگاه,14400.0,,,1393,9789644163302,264,18.333
مقالات دومین همایش ملی آسیب‌های اجتماعی در ایران، ...,آگاه,15300.0,,,1393,9789644163289,280,18.301
مقالات دومین همایش ملی آسیب‌های اجتماعی در ایران، ...,آگاه,13500.0,,,1393,9789644163265,240,17.778
ایدئولوژی، برنامه‌ی درسی و جامعه‌شناسی نوین آموزش: بررسی ...,آگاه,31500.0,ویس ، لوئیس,,1397,9789644163937,334,10.603
درباره‌ی مسائل شهرسازی در ایران امروز,آگاه,17100.0,غمامی ، مجید,,1397,9789644162794,176,10.292
اندیشه‌های نو در مدیریت و حکمروایی شهری (مجموعه ...,آگاه,23400.0,,,1397,9789644163708,236,10.085
مقدمه‌ای بر زبان‌شناسی شناختی,آگاه,50400.0,اونگرر ، فردریش,,1397,9789644164026,480,9.524
اقدام‌پژوهی,آگاه,13500.0,کاستلو ، پاتریک,,1397,9789644162541,120,8.889
سیاست‌گذاری سرمایه‌ی انسانی در ایران,آگاه,45000.0,حیدری ، علی‌رضا,,1397,9789644163517,380,8.444
سرمایه‌ی اجتماعی و سلامت اجتماعی: مفاهیم و رویکردها,آگاه,28800.0,موسوی ، میرطاهر,,1398,9789644163418,232,8.056
استعاره: مقدمه‌ای کاربردی,آگاه,67500.0,کووچش ، زولتان,,1398,9789644163661,542,8.03
پیدایش روشنفکر گفت‌و‌گویی در ایران؟: مطالعه‌ای تاریخی از ...,آگاه,63000.0,قانعی‌راد ، سیدمحمدامین,,1398,9789644164330,482,7.651
مقالات برگزیده‌ی سومین همایش ملی آسیب‌های اجتماعی ایران، ...,آگاه,25200.0,,,1398,9789644164255,192,7.619
آسیب‌های کودکان، نوجوانان،جوانان و سالمندان,آگاه,36000.0,,,1398,9789644164217,272,7.556
مسائل و مشکلات اجتماعی‮‮‬‬‏‫,آگاه,45000.0,,,1398,9789644164262,336,7.467
اعتیاد,آگاه,43200.0,,,1398,9789644164231,318,7.361
مقالات برگزیده‌ی سومین همایش ملی آسیب‌های اجتماعی ایران، ...,آگاه,29700.0,,,1398,9789644164248,194,6.532
مقالات برگزیده سومین همایش ملی آسیب‌های اجتماعی ایران، ...,آگاه,45000.0,,,1398,9789644164224,292,6.489
الف ‌- ‌ب زبان‌شناسي شناختي (2),آگاه,67500.0,اونز ، ویوین,,1398,9789644164149,438,6.489
شهر نابرابر: تجدید حیات شهری، جابه‌جایی و ایجاد ...,آگاه,55800.0,شورت ، جان‌رنی,,1399,9789644164408,340,6.093
اقتدار پزشکی از خشونت تا دگر فهمی,آگاه,34200.0,صالحی ، علیرضا,,1399,9789644164200,200,5.848
جامعه‌شناسی شادی: رویکرد اجتماعی و شناختی بر مطالعه‌ی ...,آگاه,32400.0,موسوی ، میرطاهر,,1400,9789644163890,184,5.679
نیمه‌ی پنهان مادری (مجموعه مقالات),آگاه,45000.0,,,1399,9789644160059,248,5.511
تحلیل فرهنگی صنعت,آگاه,45000.0,قانعی‌راد ، سیدمحمدامین,,1399,9789644160080,238,5.289
مبانی بازارها و نهادهای مالی (با ملحقاتی در ...,آگاه,61200.0,فابوتسی ، فرانک‌ج.,,1399,9789644164415,320,5.229
آتش و خاکستر: موفقیت و شکست در سیاست,آگاه,43200.0,ایگناتیف ، مایکل,,1400,9789644163647,204,4.722
عدالت شهری,آگاه,73800.0,فینستاین ، سوزان‌اس.,,1400,9789644164156,344,4.661
